	2 mm	4 mm	6 mm	8 mm	10 mm	12 mm	14 mm	16 mm	18 mm	20 mm	30 mm	40 mm
130	95.86847	72.624607	57.221251	46.159031	38.690885	35.176218	33.606974	32.882794	32.819637	32.292894	32.631872	31.097784
131	95.86847	72.624607	57.221251	46.159031	38.690885	35.176218	33.606974	32.882794	32.819637	32.292894	32.631872	31.097784
132	95.532605	73.100908	57.641809	46.480942	38.900038	35.294974	33.665205	32.90199	32.804874	32.273542	32.613213	31.071374
133	95.532605	73.100908	57.641809	46.480942	38.900038	35.294974	33.665205	32.90199	32.804874	32.273542	32.613213	31.071374
134	96.047656	73.588556	58.078019	46.83281	39.146042	35.440753	33.740373	32.943935	32.839349	32.301392	32.608077	31.075552
135	96.047656	73.588556	58.078019	46.83281	39.146042	35.440753	33.740373	32.943935	32.839349	32.301392	32.608077	31.075552
136	96.583371	74.069756	58.505169	47.174459	39.373798	35.58546	33.823098	32.978414	32.84705	32.307034	32.602725	31.077296
137	96.583371	74.069756	58.505169	47.174459	39.373798	35.58546	33.823098	32.978414	32.84705	32.307034	32.602725	31.077296
138	97.872884	74.542403	58.928327	47.516883	39.598003	35.725874	33.888341	33.010896	32.867936	32.299756	32.59751	31.070161
139	97.872884	74.542403	58.928327	47.516883	39.598003	35.725874	33.888341	33.010896	32.867936	32.299756	32.59751	31.070161
140	98.256897	75.029544	59.350509	47.857141	39.839002	35.876479	33.989033	33.05224	32.889283	32.307599	32.593671	31.072365
141	98.256897	75.029544	59.350509	47.857141	39.839002	35.876479	33.989033	33.05224	32.889283	32.307599	32.593671	31.072365
142	98.58024	75.486613	59.754913	48.177792	40.047002	36.011574	34.055444	33.078508	32.885479	32.293255	32.573377	31.05442
143	98.58024	75.486613	59.754913	48.177792	40.047002	36.011574	34.055444	33.078508	32.885479	32.293255	32.573377	31.05442
144	97.67474	75.935995	60.173131	48.517943	40.293137	36.155369	34.139884	33.121986	32.913007	32.301327	32.569996	31.061517
145	97.67474	75.935995	60.173131	48.517943	40.293137	36.155369	34.139884	33.121986	32.913007	32.301327	32.569996	31.061517
146	98.062891	76.381398	60.592181	48.858961	40.524448	36.301017	34.226383	33.153607	32.922455	32.297724	32.562959	31.060404
147	98.062891	76.381398	60.592181	48.858961	40.524448	36.301017	34.226383	33.153607	32.922455	32.297724	32.562959	31.060404
148	98.435947	76.823118	61.001715	49.192788	40.765464	36.452037	34.312166	33.213752	32.955232	32.31082	32.560937	31.04384
149	98.435947	76.823118	61.001715	49.192788	40.765464	36.452037	34.312166	33.213752	32.955232	32.31082	32.560937	31.04384
150	100.089935	77.250567	61.405841	49.529064	40.99579	36.61941	34.402098	33.245003	32.964012	32.311817	32.553688	31.038918
151	100.089935	77.250567	61.405841	49.529064	40.99579	36.61941	34.402098	33.245003	32.964012	32.311817	32.553688	31.038918
152	99.188259	77.661716	61.802375	49.856259	41.226167	36.764668	34.488006	33.292998	32.97907	32.314285	32.540354	31.039539
153	99.188259	77.661716	61.802375	49.856259	41.226167	36.764668	34.488006	33.292998	32.97907	32.314285	32.540354	31.039539
154	99.604874	78.081375	62.201091	50.186989	41.453315	36.923059	34.575961	33.33954	33.015873	32.326372	32.544194	31.027239
155	99.604874	78.081375	62.201091	50.186989	41.453315	36.923059	34.575961	33.33954	33.015873	32.326372	32.544194	31.027239
156	101.30026	78.474543	62.578728	50.51326	41.688653	37.06862	34.661223	33.386045	33.023201	32.329353	32.531372	31.01972
157	101.30026	78.474543	62.578728	50.51326	41.688653	37.06862	34.661223	33.386045	33.023201	32.329353	32.531372	31.01972
158	101.752394	78.907816	62.981696	50.85709	41.934663	37.23192	34.776235	33.444647	33.055527	32.356203	32.537375	31.024098
159	101.752394	78.907816	62.981696	50.85709	41.934663	37.23192	34.776235	33.444647	33.055527	32.356203	32.537375	31.024098
160	102.1794	79.305847	63.365243	51.167342	42.16078	37.392254	34.86875	33.492286	33.077691	32.342876	32.526341	31.015198
161	102.1794	79.305847	63.365243	51.167342	42.16078	37.392254	34.86875	33.492286	33.077691	32.342876	32.526341	31.015198
162	101.300699	79.720268	63.748966	51.512292	42.417272	37.554269	34.971996	33.555361	33.110841	32.37353	32.52653	31.017644
163	101.300699	79.720268	63.748966	51.512292	42.417272	37.554269	34.971996	33.555361	33.110841	32.37353	32.52653	31.017644
164	101.65836	80.109206	64.119335	51.826071	42.64185	37.71268	35.054126	33.584866	33.12788	32.36653	32.502353	31.009377
165	101.65836	80.109206	64.119335	51.826071	42.64185	37.71268	35.054126	33.584866	33.12788	32.36653	32.502353	31.009377
166	101.978089	80.510281	64.487343	52.135763	42.867214	37.86935	35.147364	33.640786	33.15079	32.368841	32.498252	31.002133
167	101.978089	80.510281	64.487343	52.135763	42.867214	37.86935	35.147364	33.640786	33.15079	32.368841	32.498252	31.002133
168	102.322883	80.915285	64.860655	52.465554	43.109742	38.030086	35.250381	33.702639	33.178928	32.388067	32.500756	30.990518
169	102.322883	80.915285	64.860655	52.465554	43.109742	38.030086	35.250381	33.702639	33.178928	32.388067	32.500756	30.990518
170	102.667374	81.318236	65.240487	52.781023	43.350245	38.192712	35.36099	33.7568	33.210334	32.400027	32.493476	30.996425
171	102.667374	81.318236	65.240487	52.781023	43.350245	38.192712	35.36099	33.7568	33.210334	32.400027	32.493476	30.996425
172	103.021242	81.698221	65.61651	53.095375	43.589377	38.364269	35.458836	33.808743	33.238344	32.409506	32.491503	30.97855
173	103.021242	81.698221	65.61651	53.095375	43.589377	38.364269	35.458836	33.808743	33.238344	32.409506	32.491503	30.97855
174	104.761047	82.08307	65.972045	53.417916	43.829757	38.531974	35.55615	33.87148	33.26972	32.43037	32.472284	30.980447
175	104.761047	82.08307	65.972045	53.417916	43.829757	38.531974	35.55615	33.87148	33.26972	32.43037	32.472284	30.980447
176	105.122132	82.464301	66.328325	53.721646	44.063621	38.686464	35.670687	33.93446	33.302802	32.437368	32.478824	30.975711
